,latitude,longitude,depth,d13C,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,predicted_cluster,cluster,cen_x,cen_y,c
74,32.07,-117.37,1299,-0.21875,EW9504_03,unassigned,1.7875,2.3475,Lowell D. Stott,ew950403-tab.txt,S_site_EW9504_03,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
75,32.28,-118.4,1759,-0.31,EW9504_04,unassigned,3.982,2.468,Lowell D. Stott,ew950404-tab.txt,S_site_EW9504_04,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
76,32.48,-118.13,1818,-0.3,EW9504_05,unassigned,3.8133,2.6233,Lowell D. Stott,ew950405-tab.txt,S_site_EW9504_05,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
77,32.8,-118.8,1442,-0.10167,EW9504_08,unassigned,2.7,2.9033,Lowell D. Stott,ew950408-tab.txt,S_site_EW9504_08,,2,0,2.7160713812868216,0.24484144573643407,#DF2020
78,32.87,-119.97,1194,-0.01,EW9504_09,unassigned,3.2914,2.35,Lowell D. Stott,ew950409-tab.txt,S_site_EW9504_09,,0,0,2.7160713812868216,0.24484144573643407,#DF2020
79,54.36,-148.47,3664,0.18,PAR87A_10,"Cib spp, cib",5.92,2.83,"Zahn, R et al. (1991)",052454.txt,S_site_PAR87A_10,"doi:10.1594/PANGAEA.52454,",0,0,2.7160713812868216,0.24484144573643407,#DF2020
80,-71.15,-119.92,2096,0.43,PS2547_3,"Cib.w, wuellerstorfi, CW",,4.03,"Hillenbrand, C-D et al. (2002)",052718.txt,S_site_PS2547_3_AR,"doi:10.1594/PANGAEA.52718,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
81,-28.36,-105.36,3424,0.14,GIK17304_1,"Cib.w, wuellerstorfi, CW",,3.9,"Winn, Kyaw (2013)",811695.txt,S_site_GIK17304_1,doi:10.1594/PANGAEA.811695,2,0,2.7160713812868216,0.24484144573643407,#DF2020
82,-28.36,-105.36,3424,0.3,GIK17304_2,"Cib.w, wuellerstorfi, CW",,3.6475,"Winn, Kyaw (2013)",811699.txt,S_site_GIK17304_2,doi:10.1594/PANGAEA.811699,2,0,2.7160713812868216,0.24484144573643407,#DF2020
83,-25.22,-75.53,3558,0.17,GeoB3388_1,"Cib.w, wuellerstorfi, CW",,2.99,"Mohtadi, M et al. (2006)",686213.txt,S_site_GeoB3388_1,"doi:10.1594/PANGAEA.686213,",2,0,2.7160713812868216,0.24484144573643407,#DF2020
84,-23.83,-115.94,2918,-0.04,SO26_222KA,kullenbergi,,3.9883,"Sarnthein, Michael, Winn, Kyaw (2013)",805131.txt,S_site_SO26_222KA,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
85,-14.5,177.09,3010,0.31,SO35_2_182KL,kullenbergi,9.8,3.02,"Winn, Kyaw (2013)",806897.txt,S_site_SO35_2_182KL_AR,doi:10.1594/PANGAEA.806897,2,0,2.7160713812868216,0.24484144573643407,#DF2020
86,-7.97,-100.01,4107,-0.14,SO26_141KA,"Cib.w, wuellerstorfi, CW",,2.97,"Sarnthein, Michael, Winn, Kyaw (2013)",805126.txt,S_site_SO26_141KA,see_info_in_citation,2,0,2.7160713812868216,0.24484144573643407,#DF2020
87,-2.18,157.0,1614,0.39,MW9109_7BC,"Cib.w, wuellerstorfi, CW",,2.75,"McCorkle, DC, Keigwin, LD (1994)",052668.txt,S_site_MW9109_7BC,see_info_in_citation,0,0,2.7160713812868216,0.24484144573643407,#DF2020
