latitude,longitude,depth,d13C,Core,d18O
7.280,-26.190,4835.000,0.628,GIK16459_1,2.4375
9.360,113.290,2772.000,0.170,ODP1143,2.5045
9.570,-19.100,3845.000,0.690,GIK16415_2,3.2400
10.000,-57.000,3410.000,0.870,CH75_03,2.8250
11.490,-79.380,3051.000,0.900,68_502_Site,2.2500
11.650,-80.130,3237.000,0.723,V28_127,2.4019
11.850,-78.682,3623.000,0.781,V28_122,2.3476
12.440,-18.060,3223.000,0.750,GeoB9526_4,2.9550
12.440,-18.060,3223.000,0.670,GeoB9526_5,2.8138
13.120,-103.010,3105.000,0.290,SO26_12KA,2.7600
14.167,-18.573,3167.000,0.763,V22_197,2.7317
14.270,50.310,1895.000,-0.121,MD76_135,2.5514
14.610,52.920,1803.000,-0.020,GeoB3004_1,2.7233
15.830,-17.860,2576.000,0.723,GIK12347_2,2.7033
15.950,-18.130,3082.000,0.750,GIK12337_5,2.6000
15.950,-18.130,3094.000,0.693,GIK12337_4,2.5788
18.000,111.490,2050.000,0.070,SCS90_36,2.1943
18.430,-21.080,3093.000,0.893,V30_49,2.2814
18.430,115.990,3766.000,0.320,GIK16520_1,2.8450
18.910,115.760,3766.000,0.240,GIK16527_1,2.9500
19.000,-20.160,3300.000,0.956,BOFS31_1K,2.6240
19.370,-19.930,3315.000,0.850,GIK12329_4,2.5350
19.370,-18.930,3320.000,0.860,GIK12329_6,2.5467
19.750,-20.720,3580.000,1.020,BOFS30_3K,2.4175
20.520,-21.120,4000.000,0.816,BOFS29_1K,2.5140
20.750,-18.580,2274.000,0.861,108_658,2.6967
20.750,-18.580,2278.000,0.810,GeoB7920_2,2.6407
21.150,-18.570,2778.000,0.870,GIK12328_5,2.7427
23.140,-17.750,2136.000,1.020,GIK12379_3,2.5375
24.450,-19.840,3680.000,1.000,BOFS26_6K,2.6150
24.620,-22.760,4900.000,0.980,BOFS28_3M,2.3367
25.170,-16.850,2575.000,1.008,GIK12392_1,2.5360
28.525,134.123,2942.000,0.262,V28_304,2.6620
29.980,-10.650,1512.000,1.180,GIK16004_1,2.1833
31.250,-117.580,2042.000,-0.200,EW9504_02,2.6600
31.670,-118.180,1915.000,-0.248,AHF16832,2.6225
32.070,-117.370,1299.000,-0.219,EW9504_03,2.3475
32.280,-118.400,1759.000,-0.310,EW9504_04,2.4680
32.480,-118.130,1818.000,-0.300,EW9504_05,2.6233
32.800,-118.800,1442.000,-0.102,EW9504_08,2.9033
32.870,-119.970,1194.000,-0.010,EW9504_09,2.3500
34.860,-8.130,2435.000,1.100,GIK15672_2,2.2950
34.860,-8.130,2460.000,1.215,GIK15672_1,2.5300
34.890,-7.820,2022.000,1.110,GIK15669_1,2.4650
35.270,-29.250,3225.000,0.460,CH74_227,3.2700
35.890,-7.530,1177.000,0.320,MD99_2339,1.0200
36.048,-72.373,3942.000,0.873,V26_176,2.7025
36.130,-1.970,1287.000,1.290,RC09_203,3.2270
40.000,-22.000,3485.000,0.907,CH72_02,2.8933
44.360,-26.540,3050.000,1.095,GIK15612_2,2.4600
48.210,-27.060,2810.000,1.180,GIK17055_2,2.5129
48.220,-27.060,2558.000,1.280,GIK17055_1,2.5000
52.430,-16.670,3663.000,0.830,GIK17045_3,2.5767
52.450,-16.660,3653.000,0.735,GIK17045_2,2.6600
54.308,-18.177,1859.000,1.260,GIK17048_4,2.5333
54.310,-18.180,1859.000,1.335,GIK17048_3,2.7300
54.360,-148.470,3664.000,0.180,PAR87A_10,2.8300
55.190,-20.350,2004.000,1.430,BOFS11K,3.1700
55.480,-14.700,2180.000,1.000,162_980,2.5419
55.490,-14.700,2168.000,0.961,ODP980,2.5928
57.500,-15.870,1145.000,0.961,ODP982,2.2433
58.000,-16.500,1150.000,1.156,BOFS17K,3.0921
58.630,-19.430,1756.000,0.950,BOFS14K,3.3550
59.190,-30.900,1416.000,1.480,SO82_5_2,3.8250
61.430,-24.080,1648.000,1.126,ODP984C,2.7510
