,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C
27,odp1014,KM2,1.84,,1,-0.05,,1
28,odp1014,mPWP-2,1.9240000000000002,0.1258173279004128,5,-0.126,0.13649175799292793,5
29,odp1014,G20,1.9966666666666668,0.13650396819628838,3,-0.32,0.09643650760992954,3
30,odp1014,G20 - 2800 ka,2.1584615384615384,0.19147872613975314,13,-0.2730769230769231,0.16443765867265195,13
31,odp1014,iNHG,2.56,0.333841279652472,9,-0.27222222222222225,0.21323565472135386,9
32,odp1125,3500 ka - M2,2.816666666666667,0.14105849850328056,81,-0.5559259259259259,0.19106790532280515,81
33,odp1125,M2,2.698571428571428,0.13716517675520173,7,-0.6371428571428571,0.19516781545755996,7
34,odp1125,mPWP-1,2.778571428571428,0.13537114028521668,63,-0.6062903225806453,0.15372142006493264,62
35,odp1125,KM2,2.8173333333333335,0.09881199078962796,15,-0.7546666666666667,0.13741837404004434,15
36,odp1125,mPWP-2,2.8323076923076917,0.14613370839318676,39,-0.6429729729729728,0.20070521314251552,37
37,odp1125,G20,3.09,0.09908673886137244,12,-0.7989999999999999,0.12206100478403775,10
38,odp1125,G20 - 2800 ka,2.9282142857142857,0.18952165985051866,84,-0.4992307692307691,0.15217700929457825,78
39,odp1125,iNHG,,,0,,,0
40,odp1210,3500 ka - M2,,,0,,,0
41,odp1210,M2,3.9244,0.09663487983124941,5,-0.4018,0.08005435653354538,5
42,odp1210,mPWP-1,3.45156,0.10871103899788649,25,0.15133333333333332,0.12338052367853042,24
43,odp1210,KM2,3.64175,0.08029684510199221,4,-0.32975,0.08637273875477147,4
44,odp1210,mPWP-2,3.4846153846153842,0.08199648210089916,13,-0.06938461538461539,0.18785878493411767,13
45,odp1210,G20,3.708,,1,-0.313,,1
46,odp1210,G20 - 2800 ka,,,0,,,0
47,odp1210,iNHG,,,0,,,0
48,odp1208,3500 ka - M2,3.261304347826087,0.1535359034795738,69,-0.03867647058823529,0.1705907594194294,68
49,odp1208,M2,3.842222222222222,0.12988242546412687,9,-0.36888888888888893,0.12965766892517816,9
50,odp1208,mPWP-1,3.244225352112676,0.17747967265360667,71,0.10057971014492754,0.16015510917242823,69
51,odp1208,KM2,3.481904761904762,0.14743198593314302,21,-0.296,0.15942000138660536,20
52,odp1208,mPWP-2,3.2401587301587305,0.1492291165861112,63,-0.048852459016393436,0.22414354300057915,61
53,odp1208,G20,3.567777777777778,0.09516517354794385,27,-0.33925925925925926,0.10644340951979803,27
54,odp1208,G20 - 2800 ka,3.438074074074074,0.19837961610010318,135,-0.0004580152671755695,0.17999086556062033,131
55,odp1208,iNHG,3.5958878504672898,0.3099328998318283,107,-0.12803738317757007,0.2521022525863769,107
56,odp1239,3500 ka - M2,3.010294117647059,0.15060049541290627,68,-0.30647058823529405,0.14508633256842726,68
57,odp1239,M2,3.407,0.11441153787970856,10,-0.44700000000000006,0.07616502551113019,10
58,odp1239,mPWP-1,3.0315254237288136,0.2807859263058875,59,-0.12033898305084746,0.1661113679359985,59
59,odp1239,KM2,3.2653846153846158,0.13660254906207422,13,-0.48230769230769227,0.16000801261988132,13
60,odp1239,mPWP-2,3.1616326530612247,0.2728502866254031,49,-0.49693877551020404,0.15675357627011063,49
61,odp1239,G20,3.1493333333333333,0.13915390588772394,15,-0.342,0.1680646134250583,15
62,odp1239,G20 - 2800 ka,3.229705882352942,0.16887300758742382,34,-0.31029411764705883,0.11771782630942539,34
63,odp1239,iNHG,3.46575,0.2673026470654661,40,-0.3835,0.20747010906115163,40
64,dsdp594,3500 ka - M2,3.439354838709677,0.16960612182094073,31,0.09225806451612903,0.45378930263151396,31
65,dsdp594,M2,3.554,0.11886967653695366,5,-0.39799999999999996,0.17020575783445163,5
66,dsdp594,mPWP-1,3.2697297297297294,0.15146481964994904,37,0.17054054054054055,0.3954740189945474,37
67,dsdp594,KM2,3.34375,0.15792742456131997,8,-0.36875,0.2690957078810437,8
68,dsdp594,mPWP-2,3.339130434782608,0.1216520015707346,23,0.31173913043478263,0.45691308278204434,23
69,dsdp594,G20,3.6262499999999998,0.10914439976471546,8,-0.105,0.4665986344968079,8
70,dsdp594,G20 - 2800 ka,3.438913043478261,0.14485591708651688,46,0.41760869565217396,0.33843551680315176,46
71,dsdp594,iNHG,3.4933333333333336,0.18876409631593352,24,0.35166666666666674,0.6122209509267248,24
72,odp1143,3500 ka - M2,3.0456119402985076,0.15605680349114925,67,-0.21443283582089548,0.23596836099426788,67
73,odp1143,M2,3.6487000000000003,0.08048333160764821,10,-0.33609999999999995,0.09362745323888715,10
74,odp1143,mPWP-1,3.108222222222222,0.19520493987975587,54,0.2213888888888889,0.30705591751012945,54
75,odp1143,KM2,3.3501,0.13679217813895647,10,-0.39519999999999994,0.22816845628711355,10
76,odp1143,mPWP-2,3.1818518518518513,0.1343842663935442,27,-0.16199999999999998,0.35528331056950985,27
77,odp1143,G20,3.3563333333333336,0.13887212343255462,6,-0.44183333333333336,0.1787751847060063,6
78,odp1143,G20 - 2800 ka,3.329465517241379,0.2122270561249959,58,-0.12986206896551722,0.23300782670958714,58
79,odp1143,iNHG,3.447518518518519,0.2681653925803585,81,-0.10214814814814815,0.2744520045067585,81
80,odp1241,3500 ka - M2,3.155692307692308,0.2017886365634939,65,-0.24923076923076917,0.12247841254058422,65
81,odp1241,M2,3.606666666666667,0.13721030087667135,6,-0.5283333333333334,0.10759491933482113,6
82,odp1241,mPWP-1,3.1528205128205125,0.11401635888970908,39,-0.08923076923076922,0.12363751379663765,39
83,odp1241,KM2,3.3127272727272725,0.10383553429254451,11,-0.4509090909090909,0.1200378728114211,11
84,odp1241,mPWP-2,3.374147058823529,0.1855764469081646,17,-0.15374999999999997,0.16148787364174852,16
85,odp1241,G20,3.6385714285714283,0.06440201120787344,7,-0.3242857142857143,0.0680336051416609,7
86,odp1241,G20 - 2800 ka,3.5921458333333334,0.2381974855239431,48,-0.08521739130434783,0.14924609252930443,46
87,odp1241,iNHG,3.6300000000000003,0.24955612769388216,24,-0.12125000000000001,0.2028345331201937,24
88,dsdp586,3500 ka - M2,3.1424999999999996,0.25565275929145237,4,0.10750000000000001,0.17017148213885114,4
89,dsdp586,M2,,,0,,,0
