,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C
57,odp849,mPWP,3.816333333333333,0.2205531860236178,90,-0.0026666666666666635,0.34121000815175595,90
58,odp849,Mid-Pliocene,3.805941176470588,0.20818885673737111,170,-0.06935294117647059,0.21222167744109854,170
59,odp849,Early Pleistocene,4.329667774086379,0.3437274442413574,301,-0.06106312292358805,0.34667881293143393,301
60,odp1123,iNHG,3.8230894308943086,0.2761269905086759,123,0.20276422764227642,0.25081277980423583,123
61,odp1123,mPWP,3.483229411764706,0.22934179308015643,85,0.2297450980352941,0.23493983326853884,85
62,odp1123,Mid-Pliocene,3.3274402544875445,0.16701897962937334,281,0.2356126057615658,0.2477302474800516,281
63,odp1123,Early Pleistocene,4.033205148364312,0.25189899457632664,269,0.008116026757462688,0.3334225979755875,268
64,dsdp593,iNHG,2.3897968460000003,0.1863750313369322,30,0.8602000000000002,0.1687678266446091,30
65,dsdp593,mPWP,2.034666131904762,0.16819615611450825,21,0.8186666666666667,0.10002816270097804,21
66,dsdp593,Mid-Pliocene,1.9965550424999998,0.1377665371522871,12,0.8606666666666666,0.08791145683256671,12
67,dsdp593,Early Pleistocene,2.6692071418688514,0.2735577169382019,61,0.9120476326557378,0.1739847723092722,61
68,odp846,iNHG,3.652020725388601,0.30363005105152946,193,-0.39766839378238344,0.2997207969615402,193
69,odp846,mPWP,3.2796774193548384,0.25631832179459013,124,-0.18741935483870967,0.2673108204773908,124
70,odp846,Mid-Pliocene,3.0745662100456617,0.24271055164645083,219,-0.2778082191780822,0.180764786409106,219
71,odp846,Early Pleistocene,3.834743150684931,0.44500305754264563,584,-0.3761472602739726,0.27627897296314813,584
72,odp1123,iNHG,3.8230894308943086,0.2761269905086759,123,0.20276422764227642,0.25081277980423583,123
73,odp1123,mPWP,3.483229411764706,0.22934179308015643,85,0.2297450980352941,0.23493983326853884,85
74,odp1123,Mid-Pliocene,3.3274402544875445,0.16701897962937334,281,0.2356126057615658,0.2477302474800516,281
75,odp1123,Early Pleistocene,4.033205148364312,0.25189899457632664,269,0.008116026757462688,0.3334225979755875,268
