latitude,longitude,depth,d13C,dataset,datasetName,Core,coreflag,speciesflag,speciesName,depthtop,depthbottom,adjdepthmean,age_calkaBP,d18O,Author,FileName,AdditionalNotes,RetrievalNb, sitename,variabledescription,citation,References,datadoi,DataSource,Date,Cruise
-30.58,13.28,3103,0.66,1,P14,V19-240,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Marchitto, T. M., & Broecker, W. S. (2006). Deep water mass geometry in the glacial Atlantic Ocean: A review of constraints from the paleonutrient proxy Cd/Ca. Geochemistry, Geophysics, Geosystems, 7(12). ",NaN,NaN,NaN,NaN
-29.92,-35.66,2340,0.96,1,P14,CHN115-70,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Lohmann, 1982",NaN,NaN,NaN,NaN
-29.53,-43.33,4003,0.36,1,P14,KNR159-54GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Hoffman and Lund, 2012",NaN,NaN,NaN,NaN
-29.51,-8.31,4546,0.55,1,P14,GeoB3801-6,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-29.45,11.75,3973,0.29,1,P14,GeoB1722-1,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Mollenhauer, G., R. R. Schneider, P. J. M¸ller, V. Spieﬂ, and G. Wefer, (2002): Glacial/interglacial variablity in the Benguelaupwelling system: Spatial distribution and budgets of organic carbon accumulation,†Global Biogeochem. Cycles,†16(4), 1134,doi:10.1029/2001GB001488",NaN,NaN,NaN,NaN
-29.38,113.22,2750,0.52,1,P14,RS57-GC15,2,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"McCorkle, D. C., Heggie, D. T., & Veeh, H. H. (1998). Glacial and Holocene stable isotope distributions in the southeastern Indian Ocean. Paleoceanography, 13(1), 20-34. ",NaN,NaN,NaN,NaN
-29.37,13.99,1713,0.87,1,P14,ODP1085,4,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bickert and Mackensen 2004,NaN,NaN,NaN,NaN
-29.17,13.09,3044,0.43,1,P14,GeoB1721-1,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Bickert and Mackensen 2004;  curry and lohmann, 1985",NaN,NaN,NaN,NaN
-29.1,-85.6,3780,0.31,1,P14,RC15-52,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Matsumoto & Lynch-Steiglitz, 1999",NaN,NaN,NaN,NaN
-28.87,-45.7,2843,1.3,1,P14,KNR159-112GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-28.87,-45.68,2837,1,1,P14,KNR159-113JPC,3,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-28.74,-45.53,3021,1.2,1,P14,KNR159-115GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-28.58,-45.23,3353,0.84,1,P14,KNR159-120GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Hoffman and Lund, 2012",NaN,NaN,NaN,NaN
-27.91,-45.88,2504,1.23,1,P14,GeoB2109-1,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Vidal et al. 1999,NaN,NaN,NaN,NaN
-27.89,-46.04,1128,1.3,1,P14,KNR159-73GGC,0,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.77,-46.43,1796,1.2,1,P14,KNR159-MC130A,1,1,"Cib spp, cib",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Curry and Oppo, 2005",NaN,NaN,NaN,NaN
-27.7,-46.52,1567,1.1,1,P14,RC16-119,3,2,"Cib.w, wuellerstorfi, CW",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Oppo and Horowitz 2000,NaN,NaN,NaN,NaN
