latitude,longitude,depth,d13C,datasetNam,Core,speciesNam,age_calkaB,d18O,Author,FileName,sitename,datadoi,Cruise
-76.819999999999993,-51.020000000000003,261.000000000000000,1.210000000000000,M12,1399-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-76.769999999999996,-50.570000000000000,294.000000000000000,1.260000000000000,M12,1398-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-76.750000000000000,-36.320000000000000,996.000000000000000,1.250000000000000,M12,1220-3,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT II/4
-76.640000000000001,-30.629999999999999,301.000000000000000,1.020000000000000,M12,1473-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-76.579999999999998,-49.780000000000001,296.000000000000000,1.120000000000000,M12,1424-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
-76.579999999999998,-30.550000000000001,258.000000000000000,1.280000000000000,M12,1472-4,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-76.489999999999995,-31.100000000000001,360.000000000000000,1.150000000000000,M12,1475-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT V/4
-76.000000000000000,-38.200000000000003,479.000000000000000,1.320000000000000,M12,1616-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-75.519999999999996,-56.899999999999999,425.000000000000000,1.370000000000000,M12,1212-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT II/4
-75.500000000000000,-36.240000000000002,486.000000000000000,1.110000000000000,M12,1615-2,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-75.359999999999999,-29.370000000000001,420.000000000000000,1.210000000000000,M12,1008-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT I/2
-75.290000000000006,-33.100000000000001,603.000000000000000,1.090000000000000,M12,1626-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT VI/3
-74.700000000000003,-61.320000000000000,478.000000000000000,1.360000000000000,M12,1423-1,"Cib spp, cib",NaN,nan,NaN,NaN,NaN,NaN,ANT IV/3
